"basura_id","nombre","imagen"
"b1","Botella de vidrio","botella_vidrio.svg"
"b2","Lata de aluminio","lata.svg"
"b3","Botella de plastico","botella_plastica.svg"
"b4","Botella de Galon","botella_galon.svg"
"b5","Bolsa de basura","bolsa_basura.svg"
"b6","Vaso plástico","vaso_plastico.svg"
"b7","Baterias","bateria.svg"
"b8","Celular","celular.svg"
"b9","Cigarrillo","cigarrillo.svg"
"b10","Tapa de boetlla","test.svg"
"b11","Envoltura","test.svg"
"b12","Bolsa de supermercado","test.svg"
"b13","Otras bolsas","test.svg"
"b14","Bombilla","test.svg"
"b15","Otros","test.svg"
"b16","Envase de comida","test.svg"
"b17","Platos y vasos","test.svg"